ID,Name,Address,City,State,Zipcode,Type,Phone,Overall_Rtg,Health_Rtg,staffing_Rtg,Care_Rtg,Latitude,Longitude
015423,BROOKDALE UNIVERSITY PARK SNF (AL),501 UNIVERSITY PARK DRIVE,BIRMINGHAM,AL,35209,Medicare,2058700786,10,10,50,10,33.506382,-86.78697
015127,BROOKSHIRE HEALTHCARE CENTER,4320 JUDITH LANE,HUNTSVILLE,AL,35805,Medicare and Medicaid,2568371730,40,20,40,50,34.7150841,-86.62977
015191,BROWN NURSING HOME,2334 WASHINGTON STREET,ALEXANDER CITY,AL,35010,Medicare and Medicaid,2563299061,20,10,30,50,32.95178,-85.97845
015009,"BURNS NURSING HOME, INC.",701 MONROE STREET NW,RUSSELLVILLE,AL,35653,Medicare and Medicaid,2563324110,40,40,40,30,34.5149,-87.73567
015374,CAMDEN NURSING FACILITY INC.,210 PONDEROSA DRIVE,CAMDEN,AL,36726,Medicare and Medicaid,3346824231,20,20,30,40,31.9909821,-87.29054
015382,CANTERBURY HEALTH CARE FACILITY,1720 KNOWLES ROAD,PHENIX CITY,AL,36869,Medicare and Medicaid,3342910485,20,10,40,50,32.4479,-85.0202
015390,CAPITOL HILL HEALTHCARE CENTER,520 SOUTH HULL STREET,MONTGOMERY,AL,36104,Medicare and Medicaid,3348342920,40,40,10,50,32.37141,-86.3041153
015044,"CAREGIVERS OF PLEASANT GROVE, INC",700 FIRST AVENUE,PLEASANT GROVE,AL,35127,Medicare and Medicaid,2057448120,40,40,40,40,33.49094,-86.97027
015228,CEDAR CREST,4490 VIRGINIA LOOP ROAD,MONTGOMERY,AL,36116,Medicare and Medicaid,3342816826,50,40,30,50,32.3173981,-86.23973
015144,"CHANDLER HEALTH & REHAB CENTER, LLC",850 NORTHWEST NINTH STREET,ALABASTER,AL,35007,Medicare and Medicaid,2056633859,10,10,50,10,33.2442741,-86.82661
015221,"CHAPMAN HEALTHCARE CENTER, INC",3701 DADEVILLE ROAD,ALEXANDER CITY,AL,35010,Medicare and Medicaid,2562346366,20,10,40,30,32.91143,-85.91952
015460,CHARLTON PLACE REHAB AND HEALTHCARE CENTER,65 CHARLTON PLACE,DEATSVILLE,AL,36022,Medicare and Medicaid,3342630618,10,10,30,20,32.60819,-86.3958054
015200,CHEROKEE COUNTY HEALTH AND REHABILITATION CENTER,877 CEDAR BLUFF ROAD,CENTRE,AL,35960,Medicare and Medicaid,2569275778,30,20,40,20,34.1654243,-85.66142
015445,CHERRY HILL REHABILITATION & HEALTHCARE CENTER,1250 JEFF GERMANY PARKWAY,BIRMINGHAM,AL,35214,Medicare and Medicaid,2057960214,40,30,40,20,33.567524,-86.89227
015121,CITRONELLE HEALTH AND REHABILITATION CENTER,19225 NORTH 4TH STREET,CITRONELLE,AL,36522,Medicare and Medicaid,2518665509,10,10,30,30,31.0984745,-88.24248
015109,"CIVIC CENTER HEALTH AND REHABILITATION, LLC",1201 22ND STREET NORTH,BIRMINGHAM,AL,35234,Medicare and Medicaid,2052515271,20,10,40,30,33.5289726,-86.8112946
015124,CLAY COUNTY NURSING HOME,83825 HIGHWAY 9   P O BOX 1270,ASHLAND,AL,36251,Medicare and Medicaid,2563542131,50,50,40,30,33.2737274,-85.8360748
015053,CLEBURNE COUNTY NURSING HOME,122 BROCKFORD ROAD,HEFLIN,AL,36264,Medicare and Medicaid,2564632121,10,10,40,10,33.6362457,-85.58828
015184,CLOVERDALE REHABILITATION AND NURSING CENTER,412 CLOVERDALE ROAD,SCOTTSBORO,AL,35768,Medicare and Medicaid,2562591505,50,50,40,50,34.66418,-86.0494461
015207,COLLINSVILLE HEALTHCARE & REHAB,685 NORTH VALLEY AVE,COLLINSVILLE,AL,35961,Medicare and Medicaid,2565242117,40,50,50,10,34.2745552,-85.85543
015396,COLONIAL HAVEN CARE & REHABILITATION CENTER,616 ARMORY STREET,GREENSBORO,AL,36744,Medicare and Medicaid,3346243054,50,40,30,50,32.6986732,-87.58519
015453,"COLUMBIANA HEALTH AND REHABILITATION, LLC",22969 HIGHWAY 25,COLUMBIANA,AL,35051,Medicare and Medicaid,2056691712,50,40,40,50,33.1704674,-86.62507
015174,COOSA VALLEY HEALTH AND REHAB,513 PINEVIEW AVENUE,GLENCOE,AL,35905,Medicare and Medicaid,2564925350,30,20,40,20,33.9546242,-85.92229
015010,COOSA VALLEY NURSING FACILITY,315 WEST HICKORY STREET,SYLACAUGA,AL,35150,Medicare and Medicaid,2562495604,20,10,50,30,33.1654739,-86.2538
015115,"CORDOVA HEALTH AND REHABILITATION, LLC",70 HIGHLAND STREET WEST,CORDOVA,AL,35550,Medicare and Medicaid,2054839282,20,20,30,20,33.75983,-87.1833344
015067,COTTAGE OF THE SHOALS,500 JOHN ALDRIDGE DRIVE,TUSCUMBIA,AL,35674,Medicare and Medicaid,2563834541,50,50,30,20,34.7278862,-87.67907
015176,"CROSSVILLE HEALTH AND REHABILITATION, LLC",8922 HIGHWAY 227,CROSSVILLE,AL,35962,Medicare and Medicaid,2565287844,20,20,20,40,34.2875938,-85.99414
015199,CROWNE HEALTH CARE OF EUFAULA,430 RIVERS AVENUE,EUFAULA,AL,36027,Medicare and Medicaid,3346876627,20,20,30,30,31.888773,-85.15807
015156,CROWNE HEALTH CARE OF FT PAYNE,403 13TH STREET NORTHWEST,FORT PAYNE,AL,35967,Medicare and Medicaid,2568455990,40,30,40,30,34.4551353,-85.716
015193,CROWNE HEALTH CARE OF GREENVILLE,408 COUNTRY CLUB DRIVE,GREENVILLE,AL,36037,Medicare and Medicaid,3343822693,40,40,40,30,31.8424969,-86.636055
015100,CROWNE HEALTH CARE OF MOBILE,954 NAVCO ROAD,MOBILE,AL,36605,Medicare and Medicaid,2514738684,40,30,40,40,30.6520042,-88.10337
015393,CROWNE HEALTH CARE OF MONTGOMERY,1837 UPPER WETUMPKA ROAD,MONTGOMERY,AL,36107,Medicare and Medicaid,3342648416,40,40,30,30,32.3872528,-86.28282
015426,CROWNE HEALTH CARE OF SPRINGHILL,3712 DAUPHIN ST,MOBILE,AL,36608,Medicare,2513043013,50,30,50,50,30.6865349,-88.1314
015048,CULLMAN HEALTH CARE CENTER,1607 MAIN AVE NE,CULLMAN,AL,35055,Medicare and Medicaid,2567348745,10,10,40,10,34.1915169,-86.84749
015420,CUMBERLAND HEALTH AND REHAB,47065 AL HIGHWAY 277,BRIDGEPORT,AL,35740,Medicare and Medicaid,2564377260,40,40,30,30,34.94205,-85.72592
015392,CYPRESS COVE CARE CENTER,200 ALABAMA AVENUE,MUSCLE SHOALS,AL,35661,Medicare and Medicaid,2563814330,40,30,40,20,34.7443581,-87.6383362
015166,DADEVILLE HEALTHCARE CENTER,351 NORTH EAST STREET,DADEVILLE,AL,36853,Medicare and Medicaid,2568259244,10,10,30,30,32.8312378,-85.76357
015206,DECATUR HEALTH & REHAB CENTER,2326 MORGAN AVENUE SOUTHWEST,DECATUR,AL,35603,Medicare and Medicaid,2563405765,50,40,40,50,34.5684357,-87.00803
015111,DIVERSICARE OF BIG SPRINGS,500 ST. CLAIR AVENUE SOUTHWEST,HUNTSVILLE,AL,35801,Medicare and Medicaid,2565395111,20,10,40,50,34.72228,-86.5861359
015045,EAMC LANIER NURSING HOME,4800 48TH STREET,VALLEY,AL,36854,Medicare and Medicaid,3347561401,40,20,50,50,32.8237724,-85.17019
015410,EAST ALABAMA MEDICAL CENTER SKILLED NURSING FACILI,2000 PEPPERELL PARKWAY,OPELIKA,AL,36802,Medicare,3347054181,40,50,50,10,32.6381073,-85.40412
015388,EAST GLEN,53 MEDICAL PARK DRIVE EAST,BIRMINGHAM,AL,35235,Medicare and Medicaid,2058331777,30,20,30,50,33.59587,-86.6619949
015049,EASTERN SHORE REHABILITATION AND HEALTH CENTER,101 VILLA DRIVE P O BOX 1090,DAPHNE,AL,36526,Medicare and Medicaid,2516214200,30,40,40,10,30.6035252,-87.9036
015014,EASTVIEW REHABILITATION & HEALTHCARE CENTER,7755 FOURTH AVENUE SOUTH,BIRMINGHAM,AL,35206,Medicare and Medicaid,2058330146,40,30,40,20,33.5591927,-86.72181
015402,EL REPOSO NURSING FACILITY,260 MILNER CHAPEL ROAD,FLORENCE,AL,35634,Medicare and Medicaid,2567572143,50,50,30,50,34.9726524,-87.59015
015083,"ELBA NURSING AND REHABILITATION CENTER, LLC",987 DRAYTON STREET,ELBA,AL,36323,Medicare and Medicaid,3348972257,10,10,30,40,31.4292564,-86.07637
015322,ENGLEWOOD HEALTH CARE CENTER,2046 SOUTH ALABAMA AVE,MONROEVILLE,AL,36460,Medicare and Medicaid,2515753285,50,50,40,50,31.52794,-87.32471
015320,ENTERPRISE HEALTH & REHABILITATION CENTER,300 PLAZA DRIVE P O BOX 311227,ENTERPRISE,AL,36331,Medicare and Medicaid,3343479541,40,30,40,20,31.3204536,-85.83992
015089,EVERGREEN NURSING HOME,100 SANDERS DRIVE,EVERGREEN,AL,36401,Medicare and Medicaid,2515783783,50,50,40,50,31.43419,-86.95459
015152,EXTENDICARE HEALTH CENTER,950 SOUTH ST. ANDREWS STREET,DOTHAN,AL,36302,Medicare and Medicaid,3347931177,50,50,40,50,31.211441,-85.39102
015076,FAIR HAVEN RETIREMENT CENTER,1424 MONTCLAIR ROAD,BIRMINGHAM,AL,35210,Medicare and Medicaid,2059564150,20,10,40,50,33.52438,-86.72908
015222,FAIRHOPE HEALTH & REHAB,108 SOUTH CHURCH STREET,FAIRHOPE,AL,36532,Medicare and Medicaid,2519282153,40,30,40,40,30.5208626,-87.90506
015454,FAIRVIEW AT REDSTONE VILLAGE,12000 TURNMEYER DRIVE,HUNTSVILLE,AL,35803,Medicare,2568816717,20,10,40,20,34.6065063,-86.5600357
015303,FAIRVIEW HEALTH AND REHABILITATION CENTER,1028 BESSEMER RD,BIRMINGHAM,AL,35228,Medicare and Medicaid,2059231777,20,10,30,50,33.47644,-86.89973
015136,FALKVILLE HEALTH CARE CENTER,10 WEST 3RD STREET  PO BOX 409,FALKVILLE,AL,35622,Medicare and Medicaid,2567845291,50,30,50,50,34.3682976,-86.91274
01A193,FATHER PURCELL MEMORIAL EXCEPTIONAL CHILDREN'S CTR,2048 W FAIRVIEW AVE,MONTGOMERY,AL,36108,Medicaid,3348345590,20,10,30,50,32.3534546,-86.32726
015154,FAYETTE MEDICAL CENTER LONG TERM CARE UNIT,1653 TEMPLE AVENUE NORTH,FAYETTE,AL,35555,Medicare and Medicaid,2059325966,20,30,30,10,33.7075729,-87.82383
015451,FLORALA HEALTH AND REHABILITATION LLC,23621 GOLDENROD AVENUE,FLORALA,AL,36442,Medicare and Medicaid,3348588585,40,20,40,50,31.00098,-86.31074
015169,"FLORENCE NURSING AND REHABILITATION CTR,  LLC",2107 CLOYD BLVD,FLORENCE,AL,35630,Medicare and Medicaid,2567665771,20,10,20,50,34.8363876,-87.64901
015437,"FOLSOM CENTER FOR REHABILITATION AND HEALTHCARE, T",401 ARNOLD STREET N.E.,CULLMAN,AL,35055,Medicare and Medicaid,2567394409,40,50,30,10,34.18125,-86.84107
015143,FOREST MANOR INC,2215 32ND STREET,NORTHPORT,AL,35476,Medicare and Medicaid,2053395400,40,40,40,20,33.2391548,-87.58389
015180,GADSDEN HEALTH AND REHAB CENTER,1945 DAVIS DRIVE,GADSDEN,AL,35904,Medicare and Medicaid,2565474938,40,40,40,40,33.98921,-86.0288239
015459,GALLERIA WOODS SKILLED NURSING FACILITY,3850 GALLERIA WOODS DRIVE,BIRMINGHAM,AL,35244,Medicare,2059857537,50,50,40,40,33.367382,-86.81681
015201,"GENERATIONS OF RED BAY, LLC",106 TENTH AVENUE NORTHWEST,RED BAY,AL,35582,Medicare and Medicaid,2563564982,40,20,50,50,34.43982,-88.14088
015227,"GENERATIONS OF VERNON, LLC",1050 CONVALESCENT ROAD,VERNON,AL,35592,Medicare and Medicaid,2056959313,30,30,40,10,33.72024,-88.16466
015182,"GEORGIANA HEALTH AND REHABILITATION, LLC",206 PALMER AVENUE,GEORGIANA,AL,36033,Medicare and Medicaid,3343762267,50,40,50,50,31.6371021,-86.74192
015186,"GLEN HAVEN HEALTH AND REHABILITATION, LLC",2201 32ND STREET,NORTHPORT,AL,35476,Medicare and Medicaid,2053395700,40,20,40,50,33.2391548,-87.58389
015147,GLENWOOD CENTER,211 ANA DRIVE,FLORENCE,AL,35630,Medicare and Medicaid,2567668963,50,50,30,50,34.83296,-87.63164
015148,GOLDEN LIVING CENTER - ARAB,235 THIRD STREET SE,ARAB,AL,35016,Medicare and Medicaid,2565863111,40,40,30,40,34.31286,-86.49223
015063,GOLDEN LIVING CENTER - BOAZ,600 CORLEY AVENUE,BOAZ,AL,35957,Medicare and Medicaid,2565938380,40,40,30,20,34.21997,-86.16115
015032,GOLDEN LIVING CENTER - FOLEY,1701 NORTH ALSTON STREET,FOLEY,AL,36535,Medicare and Medicaid,2519432781,30,30,40,10,30.4077168,-87.68463
015404,GOLDEN LIVING CENTER - HUEYTOWN,190 BROOKLANE DRIVE,HUEYTOWN,AL,35023,Medicare and Medicaid,2054912905,30,30,40,10,33.4295158,-86.97913
015196,GOLDEN LIVING CENTER - LANETT,702 SOUTH 13TH STREET,LANETT,AL,36863,Medicare and Medicaid,3346441111,20,20,30,30,32.8573532,-85.195755
015209,GOLDEN LIVING CENTER - MEADOWOOD,820 GOLF COURSE ROAD,BESSEMER,AL,35020,Medicare and Medicaid,2054255241,30,30,30,40,33.3697548,-86.99154
015040,GOLDEN LIVING CENTER - MONTGOMERY,2020 NORTH COUNTRY CLUB DRIVE,MONTGOMERY,AL,36106,Medicare and Medicaid,3342631643,30,30,Not Available|2,30,32.3587265,-86.27916
015159,GOLDEN LIVING CENTER - ONEONTA,215 VALLEY ROAD,ONEONTA,AL,35121,Medicare and Medicaid,2052742365,30,20,20,50,33.95265,-86.46672
015132,GOLDEN LIVING CENTER - OXFORD,"P O BOX 3408, 1130 SOUTH HALE STREET",OXFORD,AL,36203,Medicare and Medicaid,2568310481,30,20,40,30,33.6142731,-85.83497
015189,GOLDEN LIVING CENTER - PELL CITY,"510 WOLF CREEK ROAD, NORTH",PELL CITY,AL,35125,Medicare and Medicaid,2053383329,10,10,30,10,33.5957832,-86.3106461
015145,GOLDEN LIVING CENTER - RIVERCHASE,2500 RIVERHAVEN DRIVE,BIRMINGHAM,AL,35244,Medicare and Medicaid,2059870901,40,40,20,20,33.36394,-86.81199
015131,GOLDEN LIVING CENTER - TRUSSVILLE,119 WATTERSON PARKWAY,TRUSSVILLE,AL,35173,Medicare and Medicaid,2056553226,10,10,30,30,33.6137047,-86.6092758
015376,GOLDEN LIVING CENTER - WINFIELD,144 COUNTY HWY 14,WINFIELD,AL,35594,Medicare and Medicaid,2054874211,20,30,30,10,33.93768,-87.82112
015204,GOODWATER HEALTHCARE CENTER,16 JONES HILL ROAD,GOODWATER,AL,35072,Medicare and Medicaid,2568396711,40,40,40,30,33.0656738,-86.0533
015463,GORDON OAKS HEALTH & REHAB,3151-A KNOLLWOOD DRIVE,MOBILE,AL,36693,Medicare and Medicaid,2516617608,20,20,40,10,30.6250668,-88.17174
015406,"GRAND BAY CONVALESCENT HOME, INC.",13750 HIGHWAY 90 WEST P.O. BOX 328,GRAND BAY,AL,36541,Medicare and Medicaid,2518656443,20,30,30,10,30.4763088,-88.34223
015446,GREENBRIAR AT THE ALTAMONT SKILLED NURSING FACILIT,2831 HIGHLAND AVENUE SOUTH,BIRMINGHAM,AL,35205,Medicare and Medicaid,2053232724,50,40,40,50,33.5055466,-86.78197
015178,GREENE COUNTY NURSING HOME,509 WILSON AVE,EUTAW,AL,35462,Medicare and Medicaid,2053724545,20,10,40,50,32.8437653,-87.88946
015456,"GULF COAST HEALTH AND REHABILITATION, LLC",8002 GRELOT ROAD,MOBILE,AL,36695,Medicare and Medicaid,2516348002,50,40,30,50,30.6621056,-88.2302856
015157,HALEYVILLE HEALTH CARE CENTER,2201 11TH AVENUE,HALEYVILLE,AL,35565,Medicare and Medicaid,2054869478,40,30,40,30,34.218605,-87.62097
015073,"HANCEVILLE NURSING & REHAB CENTER, INC",420 MAIN STREET NE,HANCEVILLE,AL,35077,Medicare and Medicaid,2563526481,50,50,40,50,34.0606537,-86.7674942
015419,HARTFORD HEALTH CARE,217 TORO ROAD,HARTFORD,AL,36344,Medicare and Medicaid,3345883842,50,40,30,50,31.09835,-85.6736145
015023,HATLEY HEALTH CARE INC,300 MEDICAL CENTER DRIVE,CLANTON,AL,35045,Medicare and Medicaid,2057554960,30,20,40,30,32.8549,-86.62531
015407,HEALTH CARE INC,P O BOX 130,ASHVILLE,AL,35953,Medicare and Medicaid,2055945148,20,10,40,40,33.8370438,-86.254425
015138,HENDRIX HEALTH AND REHABILITATION,1000 HIGHWAY 33,DOUBLE SPRINGS,AL,35553,Medicare and Medicaid,2054892136,50,40,20,50,34.1409035,-87.33074
015373,HENRY COUNTY HEALTH AND REHABILITATION FACILITY,212 DOTHAN ROAD,ABBEVILLE,AL,36310,Medicare and Medicaid,3345852241,20,10,40,30,31.5548534,-85.25318
015371,HERITAGE HEALTH CARE & REHAB INC,1101 SNOWS MILL AVENUE,TUSCALOOSA,AL,35406,Medicare and Medicaid,2057595179,40,30,40,20,33.22894,-87.5595245
015012,HIGHLANDS HEALTH AND REHAB,380 WOODS COVE ROAD,SCOTTSBORO,AL,35768,Medicare and Medicaid,2562183708,40,40,40,20,34.66173,-86.04666
015436,HILLVIEW TERRACE,100 PERRY HILL RD,MONTGOMERY,AL,36109,Medicare and Medicaid,3342720171,30,20,40,40,32.38114,-86.24728
015034,"HUNTER CREEK HEALTH AND REHABILITATION, LLC",600 34TH ST,NORTHPORT,AL,35473,Medicare and Medicaid,2053395900,30,30,20,20,33.2290077,-87.57723
015440,"HUNTSVILLE HEALTH & REHABILITATION, LLC",4010 CHRIS DRIVE,HUNTSVILLE,AL,35802,Medicare and Medicaid,2568838656,40,30,30,50,34.6774635,-86.58019
015188,JACKSON HEALTH CARE FACILITY,2616 NORTH COLLEGE AVENUE,JACKSON,AL,36545,Medicare and Medicaid,2512462476,50,50,40,40,31.5564613,-87.87672
015391,"JACKSONVILLE HEALTH AND REHABILITATION, LLC",410 WILSON DRIVE SOUTHWEST,JACKSONVILLE,AL,36265,Medicare and Medicaid,2564357704,30,30,30,40,33.8104,-85.7656
015135,JOHN KNOX MANOR INC  I I,4401 NARROW LANE ROAD,MONTGOMERY,AL,36116,Medicare and Medicaid,3342816336,40,40,40,30,32.32224,-86.28116
015028,KELLER LANDING,813 KELLER LANE,TUSCUMBIA,AL,35674,Medicare and Medicaid,2563831535,30,30,30,20,34.7419243,-87.705864
015457,KIRKWOOD BY THE RIVER,3605 RATLIFF ROAD,BIRMINGHAM,AL,35210,Medicare,2059562184,40,30,30,50,33.54383,-86.63264
015197,LAFAYETTE EXTENDED CARE,805 HOSPITAL STREET SOUTHWEST,LAFAYETTE,AL,36862,Medicare and Medicaid,3348648854,50,40,40,50,32.8997765,-85.40116
015414,LAFAYETTE NURSING HOME,555 B STREET SW,LAFAYETTE,AL,36862,Medicare and Medicaid,3348649371,30,20,30,50,32.8891,-85.40155
015361,LAUDERDALE CHRISTIAN NURSING HOME,2019 COUNTY ROAD 394,KILLEN,AL,35645,Medicare and Medicaid,2567572103,50,40,40,50,34.9124756,-87.52753
015461,LEGACY HEALTH AND REHABILITATION OF PLEASANT GROVE,30 7TH STREET,PLEASANT GROVE,AL,35127,Medicare and Medicaid,2057448226,20,20,30,30,33.4882,-86.97243
015413,LIGHTHOUSE REHABILITATION & HEALTHCARE CENTER,2911 EARL GOODWIN PARKWAY,SELMA,AL,36703,Medicare and Medicaid,3348751868,50,40,40,50,32.4451637,-87.01463
015142,"LINEVILLE HEALTH AND REHABILITATION, LLC",88073 HIGHWAY 9,LINEVILLE,AL,36266,Medicare and Medicaid,2563962104,40,30,40,30,33.3106575,-85.75261
015168,LITTLE SISTERS OF THE POOR SACRED HEART RESIDENCE,1655 MCGILL AVENUE,MOBILE,AL,36604,Medicare and Medicaid,2514766335,50,50,40,30,30.68419,-88.0775146
015336,"LUVERNE HEALTH AND REHABILITATION, LLC",142 WEST THIRD STREET,LUVERNE,AL,36049,Medicare and Medicaid,3343356528,50,40,30,50,31.7165451,-86.26385
015434,LYNWOOD NURSING HOME,4164 HALLS MILL ROAD,MOBILE,AL,36693,Medicare and Medicaid,2516615404,30,20,30,50,30.626749,-88.1377258
015214,MADISON MANOR NURSING HOME,3891 SULLIVAN ST,MADISON,AL,35758,Medicare and Medicaid,2567729243,20,10,40,30,34.6839371,-86.75109
015112,MAGNOLIA HAVEN HEALTH AND REHABILITATION CENTER,603 WRIGHT STREET,TUSKEGEE,AL,36083,Medicare and Medicaid,3347274960,40,30,30,50,32.4334221,-85.69214
015133,MAGNOLIA RIDGE CARE AND REHABILITATION CENTER,420 DEAN LANE,GARDENDALE,AL,35071,Medicare and Medicaid,2056318709,30,30,30,40,33.6601028,-86.81277
015330,MARENGO NURSING HOME,608 NORTH MAIN STREET,LINDEN,AL,36748,Medicare and Medicaid,3342958631,40,30,40,30,32.3121567,-87.79808
015167,MARION REGIONAL NURSING HOME,184 SASSER DRIVE,HAMILTON,AL,35570,Medicare and Medicaid,2059216340,20,10,30,50,34.1252,-87.9899
015378,MARSHALL MANOR NURSING HOME,3120 NORTH STREET,GUNTERSVILLE,AL,35976,Medicare and Medicaid,2565826561,50,40,40,50,34.3163376,-86.31158
015202,MCGUFFEY HEALTH & REHABILITATION CENTER,2301 RAINBOW DRIVE,GADSDEN,AL,35999,Medicare and Medicaid,2565433467,50,40,40,50,33.9713974,-86.02052
015642,MEADOWBROOK EXTENDED CARE,700 CORPORATE RIDGE,BIRMINGHAM,AL,35242,Medicare and Medicaid,2059918900,20,10,50,40,33.4162827,-86.6896
015400,MEADOWVIEW NURSING CENTER,7300 OLD HIGHWAY 78 EAST,PELL CITY,AL,35128,Medicare and Medicaid,2056405212,40,30,40,20,33.5758362,-86.41458
015019,MERRY WOOD LODGE CARE AND REHABILITATION CENTER,P O BOX 130,ELMORE,AL,36025,Medicare and Medicaid,3345678484,40,30,40,40,32.5387459,-86.31497
015458,"MILLENNIUM NURSING & REHAB CENTER, INC",5275 MILLENNIUM DRIVE,HUNTSVILLE,AL,35806,Medicare and Medicaid,2564896800,10,10,30,20,34.75287,-86.66507
015031,MITCHELL-HOLLINGSWORTH NURSING & REHABILITATION,805 FLAGG CIRCLE,FLORENCE,AL,35631,Medicare and Medicaid,2567405400,20,10,40,20,34.8082581,-87.68738
015379,MOBILE NURSING AND REHABILITATION CENTER,7020 BRUNS DRIVE,MOBILE,AL,36695,Medicare and Medicaid,2516391588,10,10,30,20,30.6581879,-88.20402
015398,MONROE MANOR HEALTH & REHABILITATION CENTER,236 WEST CLAIBORNE STREET,MONROEVILLE,AL,36460,Medicare and Medicaid,2515752648,30,20,40,20,31.5266571,-87.3273
01A208,MONTGOMERY CHILDREN'S SPECIALTY CENTER,2853 FORBES DRIVE,MONTGOMERY,AL,36110,Medicaid,3342613445,40,40,10,50,32.4243,-86.28683
015447,MONTROSE BAY HEALTH AND REHABILITATION CENTER,HIGHWAY 98     P O BOX 256,MONTROSE,AL,36559,Medicare and Medicaid,2519282177,10,20,10,10,30.5656433,-87.9013748
015187,"MOUNDVILLE HEALTH AND REHABILITATION, LLC",THIRD AVENUE    P O BOX 607,MOUNDVILLE,AL,35474,Medicare and Medicaid,2053712252,40,40,40,30,32.9976234,-87.6300049
015455,MOUNT ROYAL TOWERS,300 ROYAL TOWER DRIVE,BIRMINGHAM,AL,35209,Medicare and Medicaid,2058705666,30,20,40,30,33.4654236,-86.77015
015120,"NHC HEALTHCARE, ANNISTON",2300 COLEMAN RD,ANNISTON,AL,36207,Medicare and Medicaid,2568315730,40,40,30,20,33.6445,-85.7889
015128,"NHC HEALTHCARE, MOULTON",300 HOSPITAL STREET,MOULTON,AL,35650,Medicare and Medicaid,2569741146,10,10,30,40,34.48434,-87.28605
